City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,Vardo,70.3705,31.1107,22.26,95,76,18.68,NO,2021-01-09 03:19:53
234,Lompoc,34.6391,-120.4579,55.0,87,1,11.74,US,2021-01-09 03:19:53
235,Westport,41.1415,-73.3579,30.2,55,1,9.22,US,2021-01-09 03:18:11
236,Salinopolis,-0.6136,-47.3561,80.38,80,59,10.63,BR,2021-01-09 03:19:53
237,Sao Joao Da Barra,-21.6403,-41.0511,76.26,92,40,9.53,BR,2021-01-09 03:19:53
238,Calabozo,8.9242,-67.4293,76.01,85,100,4.76,VE,2021-01-09 03:19:54
239,Thunder Bay,48.4001,-89.3168,28.99,93,90,4.61,CA,2021-01-09 03:18:08
240,Hambantota,6.1241,81.1185,75.2,100,90,2.3,LK,2021-01-09 03:19:54
241,Anori,-3.7728,-61.6442,74.16,95,75,1.79,BR,2021-01-09 03:19:54
242,Severo-Kurilsk,50.6789,156.125,25.88,85,100,12.3,RU,2021-01-09 03:16:57
243,Naberera,-4.2,36.9333,61.97,96,97,3.24,TZ,2021-01-09 03:19:54
244,Ishigaki,24.3448,124.1572,51.8,66,75,11.5,JP,2021-01-09 03:18:21
245,Novaya Bryan,51.7159,108.2691,15.8,53,20,4.47,RU,2021-01-09 03:19:55
246,Yorosso,12.3536,-4.7761,73.08,20,0,4.23,ML,2021-01-09 03:19:55
247,Marzuq,14.4,46.4667,48.76,50,0,3.69,YE,2021-01-09 03:19:55
248,Arman,59.7,150.1667,-2.81,83,100,7.09,RU,2021-01-09 03:19:55
249,Ordzhonikidze,52.4411,61.7408,7.32,91,100,15.73,KZ,2021-01-09 03:19:56
250,Basco,20.4487,121.9702,65.73,79,96,30.96,PH,2021-01-09 03:19:56
251,Gubkinskiy,64.434,76.5026,-15.66,90,83,2.98,RU,2021-01-09 03:19:56
252,Eydhafushi,5.1033,73.0708,81.93,76,100,3.83,MV,2021-01-09 03:19:56
253,Pevek,69.7008,170.3133,-19.68,89,80,3.42,RU,2021-01-09 03:19:56
254,Starkville,33.4504,-88.8184,37.0,87,90,4.61,US,2021-01-09 03:19:57
255,Kununurra,-15.7667,128.7333,95.0,49,0,5.75,AU,2021-01-09 03:19:57
256,Ancud,-41.8697,-73.8203,53.6,71,90,6.91,CL,2021-01-09 03:19:57
257,Clyde River,70.4692,-68.5914,-4.0,77,90,4.61,CA,2021-01-09 03:19:57
258,Viking,53.1001,-111.7684,17.6,100,1,10.36,CA,2021-01-09 03:19:57
259,Puerto Carreno,6.189,-67.4859,74.64,91,75,7.9,CO,2021-01-09 03:19:58
260,Saint George,37.1041,-113.5841,42.01,35,1,4.61,US,2021-01-09 03:19:32
261,Lindenberg,49.3803,8.0986,34.0,95,83,2.48,DE,2021-01-09 03:19:58
262,Kaisiadorys,54.8667,24.45,25.0,93,90,2.3,LT,2021-01-09 03:19:58
263,Maracaibo,10.6317,-71.6406,80.06,76,67,8.19,VE,2021-01-09 03:15:17
264,Yining,29.0361,114.5636,40.96,48,0,1.79,CN,2021-01-09 03:19:59
265,Sur,22.5667,59.5289,64.31,45,0,16.46,OM,2021-01-09 03:19:59
266,Berdigestyakh,62.0989,126.6992,-28.14,84,100,3.11,RU,2021-01-09 03:19:59
267,Geraldton,-28.7667,114.6,89.6,43,98,13.8,AU,2021-01-09 03:19:59
268,Grindavik,63.8424,-22.4338,19.4,63,20,17.27,IS,2021-01-09 03:19:59
269,Tenango,18.65,-98.1833,55.4,54,20,4.61,MX,2021-01-09 03:20:00
270,Petropavlovsk-Kamchatskiy,53.0452,158.6483,8.6,52,0,2.24,RU,2021-01-09 03:20:00
271,Esperance,-33.8667,121.9,98.6,12,96,12.66,AU,2021-01-09 03:20:00
272,Rethimnon,35.3647,24.4714,61.0,88,75,4.61,GR,2021-01-09 03:20:00
273,Isla Mujeres,21.2311,-86.731,72.0,88,20,6.91,MX,2021-01-09 03:20:01
274,Bataipora,-22.2953,-53.2711,74.21,88,93,2.21,BR,2021-01-09 03:20:01
